title,company_name,company_location,salary,link
Software Engineer - Back End,Fluxergy Inc,"Fluxergy Inc4.5Irvine, CA 92618 (East Industrial Complex area)","$100,000 - $141,000 a yearFull-time",https://www.indeed.com/viewjob?jk=ec6e6b6e79f828ed&fccid=3fefe4e856684a5a&vjs=3
Full Time Senior IOS and Web Developer,SeaDrone,"SeaDronePalo Alto, CA 94303",$111K - $141K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=1bd69b945d367aae&fccid=946fcfeaee736e93&vjs=3
"Senior Software Engineer, Web Frontend",Anomalo,"AnomaloRemote in San Francisco, CA","$200,000 - $260,000 a year",https://www.indeed.com/viewjob?jk=706e15bef24a506a&fccid=6a14be574715b577&vjs=3
Full Stack Web Application Developer (7300U) 37136,University of California Berkeley,"University of California Berkeley4.2Berkeley, CA 94720","$85,000 - $100,000 a year Employer est.",https://www.indeed.com/viewjob?jk=373eb28503ad8cf5&fccid=db52f1353185d77b&vjs=3
Software Engineer,UnitedMasters,"UnitedMastersRemote in San Francisco, CA","$120,000 - $160,000 a year Employer est.",https://www.indeed.com/viewjob?jk=160572e3ec7d072e&fccid=9b6d53a95ff00a81&vjs=3
Full Stack (MEAN Stack) Developer,VComply Technologies,"VComply TechnologiesPalo Alto, CA",$88.5K - $112K a year Indeed est.,https://www.indeed.com/viewjob?jk=ac1f68ad3d1018b1&fccid=082588c86a4cea51&vjs=3
Software Test Engineer,Tesla,"Tesla3.4Fremont, CA",Full-time,https://www.indeed.com/viewjob?jk=ec8bac6ed0346f67&fccid=86e9be6ce380173e&vjs=3
Software Engineer (7300U) - BSL,University of California Berkeley,"University of California Berkeley4.2Berkeley, CA 94720",$89.5K - $113K a year Indeed est.Contract,https://www.indeed.com/viewjob?jk=e017196a10a7b6e8&fccid=db52f1353185d77b&vjs=3
Web Programmer,TSMC,"TSMC3.5San Jose, CA","$76,000 - $114,500 a year Employer est.",https://www.indeed.com/viewjob?jk=d8b2eda4a68f09d2&fccid=76fa33c24b5bd693&vjs=3
Backend Engineer,Windfall,"Windfall4.2San Francisco, CA",$116K - $147K a year Indeed est.Full-time,https://www.indeed.com/viewjob?jk=6c47c86a2e1f7d6b&fccid=e1f42ce2174fbb19&vjs=3
Frontend Engineer (Hybrid),Beans.ai,"Beans.aiPalo Alto, CA",$118K - $150K a year Indeed est.,https://www.indeed.com/viewjob?jk=b202d29635e87624&fccid=0f840cd3bc135582&vjs=3
Front-End Software Engineer,Beyond Limits,"Beyond Limits3.7Glendale, CA 91203",$96.4K - $122K a year Indeed est.Full-time,https://www.indeed.com/viewjob?jk=061bae035f432221&fccid=46b1aa6b464bae94&vjs=3
"Frontend Software Engineer, Infrastructure Platform",TikTok,"TikTok3.4Mountain View, CA","$111,520 - $229,600 a year Employer est.",https://www.indeed.com/viewjob?jk=802fab5e9669d0a5&fccid=caed318a9335aac0&vjs=3
Senior Full Stack Web Developer,KBR,"KBR4.1Moffett Field, CA",Full-time,https://www.indeed.com/viewjob?jk=a51288209205923c&fccid=cbfa56f19cc95796&vjs=3
"SDET, Software Development Engineer in Test - Test Automation & Architecture",TikTok,"TikTok3.4Mountain View, CA","$111,520 - $229,600 a year Employer est.",https://www.indeed.com/viewjob?jk=3ec10c50cd1a1127&fccid=caed318a9335aac0&vjs=3
"Software Engineer, Full Stack, 11+ Years of Experience",Snapchat,"Snapchat3.6Los Angeles, CA 90291 (Venice area)","$230,000 - $255,000 a year Employer est.Full-time",https://www.indeed.com/viewjob?jk=4f5cb3a9c1228819&fccid=f368300325e8e8bc&vjs=3
Applications Developer,Northeastern University,"Northeastern University4.2Oakland, CA","$95,130 - $121,295 a year Employer est.Full-time",https://www.indeed.com/viewjob?jk=2c229827998955bf&fccid=a9383e8362da1c50&vjs=3
Software Engineer - Web Services,Lawrence Livermore National Laboratory,"Lawrence Livermore National Laboratory4.2Livermore, CA 94550","$123,960 - $166,992 a year Employer est.Full-time",https://www.indeed.com/viewjob?jk=b84e8707cc5f8676&fccid=26727f1861532c63&vjs=3
